Issue key;Commit ID;Associated Files
XWIKI-16128;c7a49ea38fd2662944d6c9aa36ae6da760903450;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/template/TemplateManagerTest.java']
XWIKI-16128;2d9b63d8c685b5cb4a27b0160d1e947cdcc58178;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/skin/EnvironmentSkinTest.java', 'xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/internal/skin/EnvironmentSkin.java', 'xwiki-platform-core/xwiki-platform-oldcore/src/main/java/com/xpn/xwiki/internal/template/InternalTemplateManager.java', 'xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/template/TemplateManagerTest.java']
XWIKI-16128;47e4105399cf0b832bbaf3e4820459afb43e5b6b;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/template/TemplateManagerTest.java']
XWIKI-16128;c7a49ea38fd2662944d6c9aa36ae6da760903450;['xwiki-platform-core/xwiki-platform-oldcore/src/test/java/com/xpn/xwiki/internal/template/TemplateManagerTest.java']
XWIKI-13362;52d98d5da5d0ca0f8e92cc9cd4c6c11936426cb0;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-flamingo/xwiki-platform-flamingo-skin/xwiki-platform-flamingo-skin-resources/src/main/resources/flamingo/docextra.vm', 'xwiki-platform-core/xwiki-platform-oldcore/src/main/resources/ApplicationResources.properties']
XWIKI-13362;39c62a4ec9f76965e59a825d4da93a1f18c8d4b6;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js']
XWIKI-13362;427e3702b2f86621143a1b848b8d3252238b305b;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm']
XWIKI-13362;867fc669d136a15cfe9ba8b1c379c89fea5d2ba6;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-flamingo/xwiki-platform-flamingo-skin/xwiki-platform-flamingo-skin-resources/src/main/resources/flamingo/docextra.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.css']
XWIKI-13362;2107fdae6fc88bef1d450788beb5899aef1c2adb;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.css']
XWIKI-13362;ff1199b6196a44b86fa59a5092daf665300e9d0d;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm']
XWIKI-13362;52d98d5da5d0ca0f8e92cc9cd4c6c11936426cb0;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-flamingo/xwiki-platform-flamingo-skin/xwiki-platform-flamingo-skin-resources/src/main/resources/flamingo/docextra.vm', 'xwiki-platform-core/xwiki-platform-oldcore/src/main/resources/ApplicationResources.properties']
XWIKI-13362;39c62a4ec9f76965e59a825d4da93a1f18c8d4b6;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js']
XWIKI-13362;427e3702b2f86621143a1b848b8d3252238b305b;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm']
XWIKI-13362;867fc669d136a15cfe9ba8b1c379c89fea5d2ba6;['xwiki-platform-core/xwiki-platform-flamingo/xwiki-platform-flamingo-skin/xwiki-platform-flamingo-skin-resources/src/main/resources/flamingo/docextra.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.css']
XWIKI-13362;2107fdae6fc88bef1d450788beb5899aef1c2adb;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.css']
XWIKI-13362;ff1199b6196a44b86fa59a5092daf665300e9d0d;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js']
XWIKI-13362;52d98d5da5d0ca0f8e92cc9cd4c6c11936426cb0;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm', 'xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js', 'xwiki-platform-core/xwiki-platform-flamingo/xwiki-platform-flamingo-skin/xwiki-platform-flamingo-skin-resources/src/main/resources/flamingo/docextra.vm', 'xwiki-platform-core/xwiki-platform-oldcore/src/main/resources/ApplicationResources.properties']
XWIKI-13362;39c62a4ec9f76965e59a825d4da93a1f18c8d4b6;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/resources/js/xwiki/viewers/information.js']
XWIKI-13362;427e3702b2f86621143a1b848b8d3252238b305b;['xwiki-platform-core/xwiki-platform-web/src/main/webapp/templates/informationinline.vm']
