Class;Coverage;Estimate Complexity
AbstractExtensionRESTResource;[30%-40%];3.48
AbstractExtensionRepository;[50%-60%];1.0
AbstractExtensionRepositorySource;[40%-50%];1.0
AbstractExtensionRequest;[80%-90%];1.0
AbstractExtensionScanner;[90%-100%];1.0
AbstractExtensionScm;[80%-90%];1.55
AbstractExtensionScriptService;[90%-100%];1.55
AbstractExtensionTest.TestExtension;[90%-100%];1.0
AbstractFileStoreDataMigration;[20%-30%];1.55
AbstractFilterContentAlterer;[90%-100%];5.95
AbstractFilterScriptService;[30%-40%];1.0
AbstractFilterStreamDescriptor;[90%-100%];1.0
AbstractFilterStreamFactory;[90%-100%];1.0
AbstractFilteredExtensionRepository;[20%-30%];1.55
AbstractFormUrlEncodedAnnotationRequestReader;[60%-70%];3.48
AbstractFormUrlEncodedAnnotationUpdateRequestReader;[70%-80%];4.03
AbstractFormatTagHandler;[80%-90%];3.48
AbstractFormulaRenderer;[30%-40%];2.65
AbstractGenericComponentManager;[80%-90%];1.55
AbstractGroupCache;[90%-100%];1.55
AbstractGroupCache.GroupCacheEntry;[90%-100%];1.0
AbstractGuestTest;[90%-100%];1.0
AbstractHTMLFilter;[90%-100%];2.65
AbstractHTMLFilter;[90%-100%];1.0
AbstractHibernateDataMigration;[80%-90%];1.55
AbstractHiddenFilter;[90%-100%];1.55
AbstractHighlightParser;[40%-50%];1.0
AbstractInputSourceResource;[90%-100%];1.0
AbstractInstallPlanJob;[80%-90%];4.03
AbstractInstallPlanJob.ModifableExtensionPlanNode;[90%-100%];1.0
AbstractInstalledExtensionRepository;[90%-100%];1.55
AbstractInstanceInputEventGenerator;[60%-70%];1.0
AbstractIteratorMimeMessageFactory;[90%-100%];2.65
AbstractJob;[80%-90%];2.65
AbstractJob;[80%-90%];1.55
AbstractJobEvent;[80%-90%];1.0
AbstractJobRestURLGenerator;[90%-100%];3.2
AbstractJobStatus;[80%-90%];1.55
AbstractLESSSource;[90%-100%];1.55
AbstractListClassPropertyValuesProvider;[60%-70%];3.2
AbstractLocalizedEntityReference;[70%-80%];1.55
AbstractLogEventListener;[90%-100%];1.0
AbstractMacro;[90%-100%];1.0
AbstractMacroBlock;[90%-100%];1.55
AbstractMacroDescriptor;[70%-80%];1.0
AbstractMailListener;[60%-70%];1.55
AbstractMailQueueItem;[80%-90%];1.0
AbstractMailQueueManager;[90%-100%];1.0
AbstractMailRunnable;[90%-100%];1.0
AbstractMailStatusResult;[80%-90%];1.55
AbstractMandatoryClassInitializer;[80%-90%];1.55
AbstractMandatoryDocumentInitializer;[70%-80%];2.38
AbstractMavenExtension;[70%-80%];1.0
AbstractMessageDescriptor;[90%-100%];1.0
AbstractMessageIterator;[60%-70%];1.55
AbstractMessageMacro;[90%-100%];1.0
AbstractMimeBodyPartFactory;[90%-100%];3.2
AbstractMinorEventNotificationFilter;[90%-100%];1.55
AbstractModelConverter;[90%-100%];4.85
AbstractNestedPageFilter;[90%-100%];1.55
AbstractNoExceptionSafeObject;[30%-40%];1.0
AbstractNoParameterMacro;[60%-70%];1.0
AbstractNoParameterSignableMacro;[40%-50%];1.0
AbstractNotificationEmailRenderer;[80%-90%];1.55
AbstractNotificationPreference;[80%-90%];1.55
AbstractNotificationPreferences;[90%-100%];1.0
AbstractNotifyOnUpdateList;[80%-90%];1.0
AbstractNotifyOnUpdateList.Itr;[90%-100%];1.0
AbstractNotifyOnUpdateList.ListItr;[30%-40%];1.0
