Class;Coverage;Estimate Complexity
CTSDataMacro;[80%-90%];1.55
CacheConfiguration;[80%-90%];1.0
CacheEntryListenerTest;[70%-80%];1.0
CacheEntryListenerTest.EventWaiter;[60%-70%];2.65
CacheException;[30%-40%];1.0
CacheKey;[30%-40%];1.55
CacheMacroParameters;[90%-100%];1.0
CachedLESSColorThemeConverter;[90%-100%];1.55
CachedLESSCompiler;[90%-100%];3.48
CachedModelBridge;[90%-100%];1.55
CachedModelBridge;[80%-90%];1.55
CancelAction;[80%-90%];5.95
CancelableEventTest.TestCancelableEvent;[90%-100%];1.0
CaptchaConfigurationSourceCaptchaScriptSafeProvider;[90%-100%];1.0
CaptchaScriptService;[70%-80%];1.55
CaptchaServiceManager;[10%-20%];1.55
CascadingVfsPermissionChecker;[80%-90%];4.03
CertificateClassDocumentInitializer;[90%-100%];1.0
CertificateObjectReference;[90%-100%];1.0
CertifiedKeyPair;[60%-70%];1.0
CertifyingSigner;[50%-60%];1.0
ChangeAvatarPage;[60%-70%];1.0
ChangeDelta;[10%-20%];1.55
ChangePasswordPage;[80%-90%];1.0
ChangesPane;[20%-30%];1.0
CharacterDiffService;[80%-90%];4.3
ChartMacro;[80%-90%];2.38
ChartMacroParameters;[90%-100%];1.0
ChildPageFilter;[80%-90%];1.55
ChunksXDelta;[90%-100%];1.0
Class;[50%-60%];1.55
ClassBlockMatcher;[90%-100%];1.0
ClassEditPage;[90%-100%];1.0
ClassFieldEditPane;[80%-90%];1.0
ClassPropertiesResourceImpl;[80%-90%];3.2
ClassPropertiesTreeNode;[10%-20%];1.0
ClassPropertyEditPane;[90%-100%];1.55
ClassPropertyReader;[80%-90%];5.12
ClassPropertyReader.WikiClassProperty;[90%-100%];1.0
ClassPropertyReference;[70%-80%];1.55
ClassPropertyResourceImpl;[70%-80%];4.03
ClassPropertyValuesResourceImpl;[80%-90%];3.48
ClassReader;[80%-90%];6.78
ClassReader.WikiClass;[90%-100%];1.0
ClassResourceImpl;[70%-80%];3.2
ClassSheetBinder;[90%-100%];1.0
ClassSheetPage;[90%-100%];1.0
ClassloaderResource;[30%-40%];1.0
CleanPagesQuestion;[90%-100%];1.0
CleanPagesQuestionRecorder;[90%-100%];1.55
CodeMacro;[80%-90%];3.2
CodeMacroParameters;[90%-100%];1.0
Collection;[80%-90%];1.55
CollectionExtensionPropertySerializer;[80%-90%];2.38
CollectionIterableResult;[90%-100%];1.0
CollectionScriptSafeProvider;[90%-100%];3.2
ColorChartCustomizer;[60%-70%];3.48
ColorConverter;[80%-90%];3.2
ColorTheme;[90%-100%];1.0
ColumnGadget;[90%-100%];1.55
ColumnsDashboardRenderer;[90%-100%];4.03
ColumnsLayoutManager;[80%-90%];3.2
CommentAddAction;[50%-60%];4.3
CommentAddedEvent;[60%-70%];1.0
CommentDeletedEvent;[60%-70%];1.0
CommentForm;[80%-90%];1.0
CommentHandler;[80%-90%];5.12
CommentMacro;[90%-100%];1.0
CommentSaveAction;[60%-70%];5.12
CommentUpdatedEvent;[60%-70%];1.0
CommentsResourceImpl;[70%-80%];4.03
CommentsTab;[70%-80%];1.0
CommonWikiParser;[80%-90%];1.55
CommonWikiReferenceParser;[70%-80%];4.03
CompactStringEntityReferenceSerializer;[90%-100%];5.12
ComparisonDateTool;[90%-100%];1.0
CompatibilityTestSuite;[80%-90%];2.38
ComponentAnnotationLoader;[70%-80%];4.03
ComponentAnnotationLoaderTest.TestableComponentAnnotationLoader;[30%-40%];1.0
ComponentCreatedListener;[80%-90%];1.55
ComponentDeclaration;[60%-70%];1.55
ComponentDescriptorAddedEvent;[80%-90%];1.0
ComponentDescriptorFactory;[90%-100%];2.65
ComponentDescriptorRemovedEvent;[80%-90%];1.0
ComponentDocumentTranslationBundle;[70%-80%];1.55
ComponentLookupException;[90%-100%];1.0
ComponentManagerBridgeEventListener;[90%-100%];1.0
ComponentsObjectFactory;[80%-90%];4.03
ComposableLifecycleHandler;[30%-40%];3.2
CompositeBlock;[60%-70%];1.0
CompositeBlockMatcher;[70%-80%];1.55
CompositeConfigurationSource;[90%-100%];1.0
CompositeEvent;[60%-70%];1.55
CompositeEventStatus;[90%-100%];1.0
CompositeFilter;[80%-90%];1.55
CompositeFilter.SubFilter;[90%-100%];1.0
CompositeFilterStreamDescriptor;[90%-100%];1.0
CompositeListener;[20%-30%];1.0
CompositeLogger;[70%-80%];1.0
CompositeReader;[90%-100%];1.55
CompositeWikiConfigurationSource;[80%-90%];2.38
ComputedFieldClass;[20%-30%];1.0
ComputedFieldMetaClass;[90%-100%];1.0
ConcatNode;[60%-70%];1.0
ConfigurableDefaultCoreExtensionRepository;[80%-90%];1.55
ConfigurableDefaultCoreExtensionRepository.ConfigurableEnvironmentExtension;[90%-100%];1.0
ConfigurationFilesGenerator;[70%-80%];4.03
ConfigurationXarEntryType;[90%-100%];1.0
ConfiguredQueryExecutorProvider;[70%-80%];2.65
ConfiguredRatingsManagerProvider;[60%-70%];3.2
ConfirmationBox;[40%-50%];1.0
ConfirmationModal;[70%-80%];1.0
ConfirmationModal;[30%-40%];1.0
ConfirmationPageConflictAnswer;[90%-100%];1.0
ConflictQuestion;[70%-80%];1.0
ConflictQuestion.ConflictType;[30%-40%];1.0
ConflictQuestionRecorder;[90%-100%];1.55
ConsecutiveNewLineStateChainingListener;[80%-90%];1.0
ContainerMacro;[90%-100%];1.0
ContainerMacroParameters;[60%-70%];1.0
ContentExecutorException;[30%-40%];1.0
ContentHandlerPrintRenderer;[70%-80%];1.0
ContentMacroParameters;[90%-100%];1.0
Context;[50%-60%];1.0
ContextAndActionURLNormalizer;[90%-100%];3.2
ContextAndActionURLNormalizer;[90%-100%];2.38
ContextComponentManager;[90%-100%];1.0
ContextLinkCheckerThreadInitializer;[70%-80%];3.2
ContextMacro;[80%-90%];3.48
ContextMacroParameters;[90%-100%];1.0
ContextNamespaceURLClassLoader;[30%-40%];1.0
ContextRootComponentManager;[70%-80%];1.0
ConversionException;[30%-40%];1.0
ConversionException;[60%-70%];1.0
ConversionFilter;[10%-20%];2.65
ConvertUtilsConverter;[80%-90%];2.38
CopyAsJob;[90%-100%];1.0
CopyJob;[90%-100%];1.0
CopyOrRenameOrDeleteStatusPage;[60%-70%];1.0
CopyOverwritePromptPage;[90%-100%];1.0
CopyPage;[70%-80%];1.0
CopyPage;[90%-100%];1.0
CoreExtensionCache;[70%-80%];4.85
CoreExtensionScriptService;[90%-100%];1.0
CoreWikiMacroBindingInitializer;[80%-90%];1.55
CountDocumentFilter;[90%-100%];3.2
CounterBlockMatcher;[60%-70%];1.0
CreateAction;[80%-90%];3.2
CreateActionRequestHandler;[80%-90%];2.65
CreateGroupModal;[80%-90%];1.0
CreateJob;[90%-100%];4.03
CreatePagePage;[70%-80%];1.55
CreateRequest;[90%-100%];1.0
CreateResourceReferenceException;[90%-100%];1.0
CreateWikiStep;[90%-100%];1.55
CreoleParser;[90%-100%];1.0
CreoleWikiParser;[80%-90%];1.55
CriteriaService;[30%-40%];1.0
CssExtension;[80%-90%];1.55
CssResourceSkinExtensionPlugin;[30%-40%];1.0
CssSkinExtensionPlugin;[80%-90%];1.0
CssSkinFileExtensionPlugin;[90%-100%];1.55
CurrentAttachmentReferenceResolver;[90%-100%];1.0
CurrentColorThemeGetter;[90%-100%];3.2
CurrentDocumentReferenceProvider;[90%-100%];1.0
CurrentEntityReferenceProvider;[90%-100%];10.08
CurrentGetDocumentDocumentReferenceResolver;[90%-100%];1.0
CurrentGetPagePageReferenceResolver;[90%-100%];1.0
CurrentLanguageQueryFilter;[90%-100%];1.0
CurrentMacroAttachmentReferenceResolver;[90%-100%];1.0
CurrentMacroDocumentReferenceResolver;[90%-100%];1.0
CurrentMacroEntityReferenceResolver;[90%-100%];4.03
CurrentMixedReferenceEntityReferenceResolver;[90%-100%];1.0
CurrentMixedStringDocumentReferenceResolver;[90%-100%];1.0
CurrentReferenceEntityReferenceResolver;[90%-100%];1.0
CurrentReferenceObjectReferenceResolver;[30%-40%];1.0
CurrentSpaceReferenceProvider;[90%-100%];1.0
CurrentStringAttachmentReferenceResolverCurrentStringDocumentReferenceResolver;[90%-100%];1.0
CurrentStringEntityReferenceResolver;[90%-100%];1.0
CurrentStringSpaceReferenceResolver;[90%-100%];1.0
CustomBoxMacro;[90%-100%];1.0
CustomContentLESSSource;[60%-70%];1.0
CustomizableXarEntryType;[90%-100%];1.0
DBCPConnectionProvider;[60%-70%];5.12
DBListClass;[60%-70%];4.03
DBListMetaClass;[90%-100%];1.0
DBTreeListClass;[40%-50%];4.03
DBTreeListMetaClass;[90%-100%];1.0
DHKeyValidationParameters;[90%-100%];1.0
DOMXMLWriter;[40%-50%];1.55
DSAKeyGenerationParameters;[80%-90%];1.0
DSAKeyParametersGenerationParameters;[60%-70%];1.55
DSAKeyValidationParameters;[60%-70%];1.0
DTDXMLFilter;[70%-80%];1.55
DailyWatchListJobDocumentInitializer;[90%-100%];1.0
DashboardMacro;[70%-80%];3.2
DashboardMacroParameters;[60%-70%];1.0
DataTypesPage;[80%-90%];1.0
DataURILabelGenerator;[90%-100%];1.0
DataURIResourceReferenceTypeParser;[90%-100%];1.55
DataURIXHTMLImageTypeRenderer;[90%-100%];1.0
Database;[70%-80%];1.0
DatabaseContainerExecutor;[10%-20%];2.38
DatabaseDocumentIterator;[80%-90%];3.2
DatabaseDocumentRevisionProvider;[70%-80%];3.2
DatabaseListClassEditElement;[80%-90%];1.55
DatabaseMailResender;[90%-100%];1.55
DatabaseMailStatusResult;[60%-70%];1.55
DatabasePingDataProviderDatabaseProduct;[70%-80%];2.65
DatasetType;[80%-90%];1.55
DateClass;[60%-70%];1.55
DateExtensionPropertySerializer;[90%-100%];1.0
DateMetaClass;[90%-100%];1.0
DatePicker;[40%-50%];1.55
DatePingDataProvider;[90%-100%];2.38
DateProperty;[60%-70%];2.38
DateScriptService;[90%-100%];1.0
DateValueNode;[30%-40%];1.0
DateXarObjectPropertySerializer;[60%-70%];3.2
DebugInternalScriptService;[70%-80%];1.55
DefaultActiveInstallsConfiguration;[90%-100%];1.0
DefaultAnnotatedContent;[90%-100%];2.65
DefaultAnnotatedContent.AnnotatedContentIterator;[60%-70%];1.0
DefaultAnnotatedElement;[90%-100%];1.0
DefaultAnnotationConfiguration;[50%-60%];1.0
DefaultAnnotationMaintainer;[90%-100%];1.0
DefaultAnnotationService;[30%-40%];2.38
DefaultAsyncContext;[80%-90%];2.65
DefaultAsyncContext.ContextUse;[90%-100%];1.0
DefaultAsyncRendererExecutor;[80%-90%];4.3
DefaultAttachmentClassLoaderFactory;[90%-100%];2.38
DefaultAttachmentConverter;[90%-100%];1.0
DefaultAttachmentFileProvider;[80%-90%];1.0
DefaultAttachmentURILabelGenerator;[90%-100%];1.0
DefaultAuthorExecutor;[80%-90%];3.2
DefaultAuthorExecutor.DefaultAuthorExecutorContext;[90%-100%];1.0
DefaultAuthorizationManager;[70%-80%];4.85
DefaultAuthorizationManagerConfiguration;[90%-100%];1.0
DefaultAuthorizationSettler;[90%-100%];4.85
DefaultBcContentVerifierProviderBuilder;[50%-60%];1.55
DefaultBeanDescriptor;[90%-100%];4.3
DefaultBeanManager;[80%-90%];3.48
DefaultBeanManagerTest.RawPropertiesTest;[90%-100%];1.0
DefaultBlameManager;[80%-90%];5.12
DefaultBlameManagerTest.Revision;[30%-40%];1.0
DefaultBlockAsyncRendererExecutor;[80%-90%];2.65
DefaultBlockAsyncRendererExecutor.DecoratorWrapper;[90%-100%];1.0
DefaultBlockParser;[20%-30%];2.38
DefaultBoxMacro;[90%-100%];1.0
DefaultCMSSignedDataGenerator;[70%-80%];3.2
DefaultCMSSignedDataVerifier;[70%-80%];1.55
DefaultCSRFTokenConfiguration;[90%-100%];1.0
DefaultCacheManager;[70%-80%];1.0
DefaultCacheManagerConfiguration;[90%-100%];1.0
DefaultCaptchaConfiguration;[90%-100%];1.0
DefaultChunk;[50%-60%];1.55
DefaultClassLoaderManager;[80%-90%];2.65
DefaultColorThemeReferenceFactory;[90%-100%];3.2
DefaultComponentDependencyFactory;[90%-100%];5.12
DefaultComponentDescriptor;[30%-40%];1.55
DefaultComponentManagerManager;[90%-100%];3.2
DefaultComponentRole;[70%-80%];1.55
DefaultCompositeEventStatusManager;[90%-100%];1.0
DefaultConfigurationSource;[90%-100%];1.0
DefaultConfigurationSourceProvider;[90%-100%];1.0
DefaultContainer;[50%-60%];1.55
DefaultContentDescriptor;[80%-90%];1.0
DefaultContextStoreManager;[80%-90%];2.38
DefaultContextualAuthorizationManager;[80%-90%];2.38
DefaultContextualLocalizationManager;[90%-100%];1.55
DefaultConverter;[70%-80%];5.12
DefaultConverterManager;[80%-90%];5.12
DefaultCoreConfiguration;[80%-90%];3.2
DefaultCoreExtension;[70%-80%];1.0
DefaultCoreExtensionFile;[10%-20%];1.55
DefaultCoreExtensionScanner;[80%-90%];3.2
DefaultDeletedAttachmentFileProvider;[90%-100%];1.0
DefaultDeletedDocumentContentFileProvider;[90%-100%];1.0
DefaultDiffManager;[80%-90%];6.5
DefaultDiffResult;[70%-80%];1.0
DefaultDigestFactory;[50%-60%];1.0
DefaultDisplayConfiguration;[30%-40%];1.0
DefaultDistributionJob;[80%-90%];4.3
DefaultDistributionManager;[70%-80%];2.38
DefaultDocumentCache.Listener;[90%-100%];1.0
DefaultDocumentDisplayer;[60%-70%];5.95
DefaultDocumentRestorerFromAttachedXAR;[90%-100%];4.3
DefaultDocumentRevisionProvider;[30%-40%];6.78
DefaultDocumentSplitter;[80%-90%];3.2
DefaultEditConfiguration;[80%-90%];2.38
DefaultEditorDescriptor;[70%-80%];1.0
DefaultEditorManager;[70%-80%];2.38
DefaultEntityReferenceProvider;[90%-100%];1.0
DefaultEntityReferenceValueProvider;[90%-100%];1.0
DefaultEntityResourceActionLister;[80%-90%];1.55
DefaultEnvironmentConfiguration;[90%-100%];1.0
DefaultErrorBlockGenerator;[80%-90%];3.2
DefaultEvent;[80%-90%];1.0
DefaultEventFactory;[90%-100%];1.55
DefaultEventStatus;[60%-70%];1.0
DefaultExecution;[80%-90%];2.38
DefaultExecutionContextManager;[80%-90%];1.55
DefaultExtensionDependency;[90%-100%];1.0
DefaultExtensionHandlerManager;[30%-40%];2.38
DefaultExtensionInitializer;[80%-90%];4.03
DefaultExtensionIssueManagement;[90%-100%];1.0
DefaultExtensionJobHistory;[70%-80%];2.38
DefaultExtensionJobHistory.SaveRunnable;[70%-80%];4.03
DefaultExtensionJobHistoryConfiguration;[70%-80%];3.2
DefaultExtensionJobHistorySerializer;[40%-50%];1.55
DefaultExtensionLicenseManager;[80%-90%];1.55
DefaultExtensionManager;[60%-70%];2.65
DefaultExtensionManagerConfiguration;[80%-90%];2.38
DefaultExtensionManagerConfiguration.RecommendedVersion;[90%-100%];1.0
DefaultExtensionPlan;[70%-80%];1.0
DefaultExtensionPlanAction;[80%-90%];1.55
DefaultExtensionPlanNode;[70%-80%];1.55
DefaultExtensionPlanTree;[90%-100%];1.0
DefaultExtensionRating;[30%-40%];1.55
DefaultExtensionRepositoryDescriptor;[80%-90%];1.0
DefaultExtensionRepositoryManager;[60%-70%];2.65
DefaultExtensionRepositoryManager.ExtensionRepositoryEntry;[70%-80%];1.0
DefaultExtensionScmDefaultExtensionScmConnection;[90%-100%];1.0
DefaultExtensionSerializer;[90%-100%];3.48
DefaultExtensionValidatorProvider;[90%-100%];1.55
DefaultFigureTypeRecognizer;[90%-100%];2.65
DefaultFileInputSource;[90%-100%];1.0
DefaultFileOutputTarget;[60%-70%];1.0
DefaultFilesystemAttachmentsConfiguration;[90%-100%];1.0
DefaultFilterDescriptorManager;[80%-90%];3.48
DefaultFilterStreamBeanDescriptor;[70%-80%];1.0
DefaultFilterStreamBeanParameterDescriptor;[80%-90%];1.0
DefaultFilterStreamProperties;[90%-100%];1.0
DefaultFlavorSearchStatus;[90%-100%];1.0
DefaultGroupManager;[80%-90%];4.85
DefaultHTMLCleaner;[90%-100%];1.0
DefaultHTMLCleanerConfiguration;[90%-100%];1.0
DefaultHTMLConverter;[70%-80%];2.38
DefaultHTMLDisplayer;[90%-100%];1.55
DefaultHTMLDisplayerManager;[90%-100%];2.38
DefaultHTTPChecker;[90%-100%];2.65
DefaultHibernateSessionFactory;[60%-70%];2.38
DefaultHttpClientFactory;[40%-50%];1.55
DefaultIOService;[60%-70%];5.68
DefaultIOTargetService;[70%-80%];2.38
DefaultIconManager;[90%-100%];1.55
DefaultIconSetCache;[90%-100%];1.0
DefaultIconSetLoader;[90%-100%];4.3
DefaultIconSetManager;[90%-100%];4.03
DefaultIconTransformationConfiguration;[80%-90%];1.0
DefaultImageProcessor;[30%-40%];2.65
DefaultInlineDiffDisplayer;[80%-90%];8.15
DefaultInputStreamInputSource;[70%-80%];1.0
DefaultInstalledExtension;[90%-100%];2.38
DefaultInstalledExtensionRepository;[80%-90%];4.03
DefaultInstalledExtensionRepository.InstalledFeature;[90%-100%];1.0
DefaultInstalledExtensionRepository.InstalledRootFeature;[90%-100%];1.0
DefaultInstanceIdManager;[80%-90%];1.55
DefaultJestClientManager;[80%-90%];1.55
DefaultJobContext;[90%-100%];2.38
DefaultJobExecutor;[90%-100%];2.38
DefaultJobExecutor.JobThreadExecutor;[90%-100%];1.55
DefaultJobManagerConfiguration;[80%-90%];1.55
DefaultJobProgress;[80%-90%];2.38
DefaultJobProgressManager;[30%-40%];1.0
DefaultJobStatus;[90%-100%];1.0
DefaultJobStatusStore;[80%-90%];2.65
DefaultJobStatusStore.JobStatusSerializerRunnable;[90%-100%];1.0
DefaultKeyDerivationFunctionFactory;[70%-80%];1.55
DefaultKeyFactory;[0%-10%];2.65
DefaultKeyGenerator;[80%-90%];1.55
DefaultLESSColorThemeConverter;[70%-80%];1.0
DefaultLESSCompilerDefaultLESSResourceReferenceFactory;[90%-100%];1.0
DefaultLegacySpaceResolver;[90%-100%];1.0
DefaultLinkCheckerThread;[90%-100%];2.65
DefaultLinkCheckerTransformationConfiguration;[80%-90%];1.55
DefaultLinkLabelGenerator;[90%-100%];1.0
DefaultLinkRefactoring;[70%-80%];4.03
DefaultLinkStateManager;[90%-100%];1.0
DefaultLinkedResourceHelper;[60%-70%];3.48
DefaultListenerDescriptorManager;[90%-100%];4.85
DefaultLiveMimeMessageIterator;[10%-20%];3.48
DefaultLocalExtension;[90%-100%];1.0
DefaultLocalExtensionFile;[70%-80%];1.0
DefaultLocalizationManager;[80%-90%];3.2
DefaultLocalizedTranslationBundle;[70%-80%];1.0
DefaultLoggerManager;[80%-90%];2.65
DefaultMacroCategoryManager;[90%-100%];1.55
DefaultMacroContentParser;[80%-90%];3.2
DefaultMacroDescriptor;[70%-80%];1.0
DefaultMacroIdFactory;[80%-90%];4.03
DefaultMacroManager;[90%-100%];3.2
DefaultMacroTransformationConfigurationDefaultMailResult;[90%-100%];1.0
DefaultMailSender;[70%-80%];3.2
DefaultMailSenderConfiguration;[90%-100%];2.38
DefaultMailTemplateManager;[80%-90%];3.2
DefaultMandatoryDocumentInitializerManager;[70%-80%];4.03
DefaultMavenExtension;[20%-30%];1.0
DefaultMavenExtensionDependency;[60%-70%];1.0
DefaultMergeResult;[60%-70%];1.0
DefaultMessageStreamConfiguration;[90%-100%];1.0
DefaultModelBridge;[80%-90%];3.48
DefaultModelBridge;[80%-90%];2.38
DefaultModelBridge;[80%-90%];1.55
DefaultModelBridge;[80%-90%];4.3
DefaultModelBridge;[30%-40%];2.38
DefaultModelConfiguration;[90%-100%];1.55
DefaultModelContext;[70%-80%];3.2
DefaultNamespaceValidator;[90%-100%];2.65
DefaultNotificationConfiguration;[80%-90%];1.55
DefaultNotificationEmailRenderer;[40%-50%];2.65
DefaultNotificationEmailUserPreferenceManager;[80%-90%];3.48
DefaultNotificationFilterManager;[80%-90%];2.65
DefaultNotificationFilterPreference;[80%-90%];1.0
DefaultNotificationManager;[30%-40%];1.0
DefaultNotificationPreferenceManager;[70%-80%];2.38
DefaultNotificationRSSManager;[40%-50%];3.2
DefaultNotificationRSSRenderer;[80%-90%];3.2
DefaultNotificationsResource;[60%-70%];2.38
DefaultObservationContext;[80%-90%];2.65
DefaultObservationManager;[90%-100%];2.65
DefaultObservationManager.RegisteredListener;[90%-100%];1.0
DefaultOfficeResourceViewer;[70%-80%];2.65
DefaultOfficeServer;[20%-30%];2.38
DefaultOfficeServerConfiguration;[80%-90%];1.55
DefaultOfficeViewerScriptService;[80%-90%];1.55
DefaultOutputStreamOutputTarget;[60%-70%];1.0
DefaultParameterDescriptor;[70%-80%];1.0
DefaultParameterizedType;[80%-90%];2.38
DefaultParametrizedNotificationManager;[90%-100%];5.68
DefaultParametrizedNotificationManager.BestSimilarity;[90%-100%];1.0
DefaultParentChildConfiguration;[90%-100%];1.0
DefaultPeriodicMimeMessageIterator;[90%-100%];1.0
DefaultPingSender;[80%-90%];1.55
DefaultPrivateKeyPasswordBasedEncryptor;[60%-70%];1.55
DefaultPropertyDescriptor;[80%-90%];1.0
DefaultPygmentsParserConfiguration;[90%-100%];1.0
DefaultQuery;[90%-100%];1.0
DefaultQueryExecutor;[90%-100%];1.0
DefaultQueryManager;[90%-100%];1.0
DefaultQueryParameter;[80%-90%];1.0
DefaultRatingsConfiguration;[70%-80%];4.85
DefaultReadWriteLock;[90%-100%];1.0
DefaultRecordableEventConverter;[80%-90%];2.65
DefaultRecordableEventDescriptorManager;[90%-100%];3.2
DefaultReferenceEntityReferenceResolver;[90%-100%];1.0
DefaultRemoteObservationManager;[80%-90%];2.65
DefaultRemoteObservationManagerConfiguration;[80%-90%];1.55
DefaultRemoteObservationManagerContext;[90%-100%];1.0
DefaultRenderingCache;[70%-80%];2.65
DefaultRenderingCacheConfiguration;[90%-100%];2.38
DefaultRenderingConfiguration;[70%-80%];1.0
DefaultRenderingContext.Context;[60%-70%];1.55
DefaultRepositoryConfiguration;[60%-70%];1.55
DefaultRepositorySerializer;[90%-100%];1.0
DefaultRequest;[90%-100%];1.0
DefaultResourceReferenceEntityReferenceResolver;[80%-90%];4.03
DefaultResourceReferenceHandlerChain;[70%-80%];3.48
DefaultResourceReferenceParser;[90%-100%];6.78
DefaultResourceReferenceResolver;[70%-80%];3.2
DefaultResultOutputTarget;[60%-70%];1.0
DefaultRomeFeedFactory;[60%-70%];5.95
DefaultScriptContextManager;[90%-100%];1.0
DefaultScriptMacroParameters;[90%-100%];1.0
DefaultScriptSafeProvider;[80%-90%];4.03
DefaultScriptServiceManager;[80%-90%];3.2
DefaultSearchSuggestCustomConfigDeleter;[80%-90%];3.2
DefaultSecureRandomProvider;[90%-100%];1.0
DefaultSecurityCache;[80%-90%];2.38
DefaultSecurityCache.SecurityCacheEntry;[70%-80%];3.2
DefaultSecurityCacheLoader;[80%-90%];4.03
DefaultSecurityCacheLoader.EmptySecurityRuleEntry;[70%-80%];1.0
DefaultSecurityCacheRulesInvalidator;[90%-100%];1.0
DefaultSecurityCacheRulesInvalidatorListener;[80%-90%];2.38
DefaultSecurityEntryReader;[80%-90%];4.03
DefaultSecurityEntryReader.InternalSecurityRuleEntry;[90%-100%];1.0
DefaultSecurityReferenceFactory;[90%-100%];1.55
DefaultSecurityShadowEntry;[40%-50%];1.55
DefaultSheetManager;[80%-90%];2.38
DefaultSignatureStore;[70%-80%];4.3
DefaultSkinAccessBridge;[90%-100%];1.0
DefaultSkinManager;[30%-40%];1.0
DefaultSkinReferenceFactory;[90%-100%];2.65
DefaultSolrConfiguration;[90%-100%];1.0
DefaultSolrFieldNameEncoder;[90%-100%];3.48
DefaultSolrIndexer;[80%-90%];2.65
DefaultSolrIndexer.ResolveQueueEntry;[90%-100%];1.0
DefaultSolrIndexer.Resolver;[80%-90%];8.98
DefaultSolrReferenceResolver.FarmIterator;[80%-90%];2.38
DefaultStandardURLConfigurationDefaultStringAttachmentReferenceResolver;[90%-100%];1.0
DefaultStringDocumentReferenceResolver;[90%-100%];1.0
DefaultStringEntityReferenceResolver;[90%-100%];1.0
DefaultStringEntityReferenceSerializer;[90%-100%];2.65
DefaultStringResourceTypeResolver;[70%-80%];3.2
DefaultStringSpaceReferenceResolver;[90%-100%];1.0
DefaultSymbolScheme;[90%-100%];1.55
DefaultSymbolScheme.ParameterConfiguration;[90%-100%];1.0
DefaultTargetableNotificationPreferenceBuilder;[90%-100%];1.0
DefaultTargetableNotificationPreferenceBuilder.TargetablePreference;[90%-100%];1.0
DefaultTemplateHTMLDisplayer;[90%-100%];2.38
DefaultTemplateManager;[50%-60%];1.0
DefaultTimedInterruptCustomizerConfiguration;[90%-100%];1.0
DefaultTranslation;[90%-100%];1.0
DefaultTypedStringEntityReferenceResolver;[90%-100%];1.0
DefaultUIDistributionStep;[60%-70%];2.38
DefaultUIExtensionManager;[80%-90%];3.2
DefaultURLConfiguration;[90%-100%];1.0
DefaultURLContextManager;[90%-100%];1.0
DefaultURLInputSource;[60%-70%];1.0
DefaultUnifiedDiffDisplayer;[90%-100%];2.65
DefaultUnifiedDiffDisplayer.State;[90%-100%];1.0
DefaultUntypedImageReferenceParser;[90%-100%];1.0
DefaultUntypedLinkReferenceParser;[90%-100%];1.0
DefaultUntypedRecordableEvent;[90%-100%];1.0
DefaultUntypedRecordableEventConverter;[40%-50%];1.0
DefaultUntypedRecordableEventDescriptor;[90%-100%];1.0
DefaultUserAvatarAttachmentExtractor;[70%-80%];3.2
DefaultUserBridge;[80%-90%];2.38
DefaultUsersQueryBuilder;[90%-100%];1.0
DefaultVelocityConfiguration;[90%-100%];1.0
DefaultVelocityContextFactory;[80%-90%];3.48
DefaultVelocityEngine;[80%-90%];2.65
DefaultVelocityEvaluator;[70%-80%];5.95
DefaultVelocityFactory;[60%-70%];1.55
DefaultVelocityMacroConfiguration;[90%-100%];1.0
DefaultVelocityManager;[80%-90%];2.65
DefaultVersion;[80%-90%];2.38
DefaultVersion.Element;[80%-90%];2.38
DefaultVersion.Tokenizer;[80%-90%];3.48
DefaultVersionCheckConfiguration;[50%-60%];1.55
DefaultVersionConstraint;[80%-90%];2.38
DefaultVersionRange;[80%-90%];3.48
DefaultVersionRangeCollection;[80%-90%];2.38
DefaultWatchList;[60%-70%];1.0
DefaultWatchListConfiguration;[60%-70%];1.0
DefaultWatchListEventHTMLDiffExtractor;[50%-60%];3.48
DefaultWatchListStore;[80%-90%];3.2
DefaultWatchedEntitiesConfiguration;[90%-100%];2.65
DefaultWatchedEntitiesManager;[80%-90%];2.65
DefaultWatchedEntityFactory;[90%-100%];1.0
DefaultWikiComponent;[30%-40%];1.0
DefaultWikiComponentBuilderEventListener;[90%-100%];2.38
DefaultWikiComponentInvocationHandler;[10%-20%];3.2
DefaultWikiComponentManager;[80%-90%];2.65
DefaultWikiComponentManagerContext;[90%-100%];1.0
DefaultWikiComponentManagerEventListener;[80%-90%];3.48
DefaultWikiConfiguration;[90%-100%];1.0
DefaultWikiCreator;[70%-80%];2.65
DefaultWikiCreator;[90%-100%];1.55
DefaultWikiDeleter;[80%-90%];4.03
DefaultWikiDescriptor;[90%-100%];1.0
DefaultWikiDescriptorBuilder;[80%-90%];3.2
DefaultWikiDescriptorManager;[80%-90%];2.65
DefaultWikiMacroFactory;[80%-90%];3.48
DefaultWikiMacroManager;[80%-90%];4.3
DefaultWikiMacroManager.WikiMacroData;[90%-100%];1.0
DefaultWikiMacroRenderer;[70%-80%];2.65
DefaultWikiManagerREST;[80%-90%];2.65
DefaultWikiObjectComponentManagerEventListener;[80%-90%];3.2
DefaultWikiPrinter;[80%-90%];1.0
DefaultWikiProvisioningJobExecutor;[90%-100%];1.55
DefaultWikiReferenceProvider;[70%-80%];3.2
DefaultWikiTemplateManager;[40%-50%];2.65
DefaultWikiUserConfigurationHelper;[80%-90%];3.48
DefaultWikiUserManager;[10%-20%];2.38
